"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1352","Create User: gmail.com","LMS service","Wed Oct 22 14:41:16 GMT 2025","passed","Wed Oct 22 14:41:18 GMT 2025","Create entity","Users","",""
"","797","Create File With Empty Filename","LMS service","Wed Oct 22 14:41:18 GMT 2025","passed","Wed Oct 22 14:41:19 GMT 2025","Validate entity","Files","",""
"","1080","test_get_file_with_incorrect_file_id","LMS service","Wed Oct 22 14:41:17 GMT 2025","passed","Wed Oct 22 14:41:18 GMT 2025","Get entity","Files","",""
"","74","Create courses","LMS service","Wed Oct 22 14:41:12 GMT 2025","passed","Wed Oct 22 14:41:13 GMT 2025","Create entity","Courses","",""
"","37","Get Exercises","LMS service","Wed Oct 22 14:41:12 GMT 2025","passed","Wed Oct 22 14:41:12 GMT 2025","Get entities","Exercises","",""
"","281","Get File With Empty Directory","LMS service","Wed Oct 22 14:41:16 GMT 2025","passed","Wed Oct 22 14:41:16 GMT 2025","Validate entity","Files","",""
"","28","Get File","LMS service","Wed Oct 22 14:41:16 GMT 2025","passed","Wed Oct 22 14:41:16 GMT 2025","Get entity","Files","",""
"","333","Delete Exercise","LMS service","Wed Oct 22 14:41:16 GMT 2025","passed","Wed Oct 22 14:41:16 GMT 2025","Delete entity","Exercises","",""
"","813","Create File","LMS service","Wed Oct 22 14:41:14 GMT 2025","passed","Wed Oct 22 14:41:15 GMT 2025","Create entity","Files","",""
"","20","Get user me","LMS service","Wed Oct 22 14:41:19 GMT 2025","passed","Wed Oct 22 14:41:19 GMT 2025","Get entity","Users","",""
"","1085","Create User: example.com","LMS service","Wed Oct 22 14:41:18 GMT 2025","passed","Wed Oct 22 14:41:19 GMT 2025","Create entity","Users","",""
"","529","Login with correct email and pass","LMS service","Wed Oct 22 14:41:10 GMT 2025","passed","Wed Oct 22 14:41:11 GMT 2025","Login","Authentication","",""
"","41","Update Exercise","LMS service","Wed Oct 22 14:41:13 GMT 2025","passed","Wed Oct 22 14:41:13 GMT 2025","Update entity","Exercises","",""
"","26","Get File With deleted File ID","LMS service","Wed Oct 22 14:41:19 GMT 2025","passed","Wed Oct 22 14:41:19 GMT 2025","Validate entity","Files","",""
"","64","Get course","LMS service","Wed Oct 22 14:41:12 GMT 2025","passed","Wed Oct 22 14:41:13 GMT 2025","Get entity","Courses","",""
"","69","Update course","LMS service","Wed Oct 22 14:41:16 GMT 2025","passed","Wed Oct 22 14:41:16 GMT 2025","Update entity","Courses","",""
"","48","Create Exercise","LMS service","Wed Oct 22 14:41:12 GMT 2025","passed","Wed Oct 22 14:41:12 GMT 2025","Create entity","Exercises","",""
"","1330","Create User: mail.ru","LMS service","Wed Oct 22 14:41:16 GMT 2025","passed","Wed Oct 22 14:41:18 GMT 2025","Create entity","Users","",""
"","54","Get Exercise","LMS service","Wed Oct 22 14:41:16 GMT 2025","passed","Wed Oct 22 14:41:16 GMT 2025","Get entity","Exercises","",""
