"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1373","Create User: mail.ru","LMS service","Wed Oct 22 08:12:42 GMT 2025","passed","Wed Oct 22 08:12:43 GMT 2025","Create entity","Users","",""
"","38","Get Exercise","LMS service","Wed Oct 22 08:12:42 GMT 2025","passed","Wed Oct 22 08:12:42 GMT 2025","Get entity","Exercises","",""
"","41","Get Exercises","LMS service","Wed Oct 22 08:12:40 GMT 2025","passed","Wed Oct 22 08:12:40 GMT 2025","Get entities","Exercises","",""
"","540","Get File With Empty Directory","LMS service","Wed Oct 22 08:12:43 GMT 2025","passed","Wed Oct 22 08:12:44 GMT 2025","Validate entity","Files","",""
"","811","test_get_file_with_incorrect_file_id","LMS service","Wed Oct 22 08:12:44 GMT 2025","passed","Wed Oct 22 08:12:44 GMT 2025","Get entity","Files","",""
"","1670","Delete Exercise","LMS service","Wed Oct 22 08:12:42 GMT 2025","passed","Wed Oct 22 08:12:44 GMT 2025","Delete entity","Exercises","",""
"","39","Get course","LMS service","Wed Oct 22 08:12:39 GMT 2025","passed","Wed Oct 22 08:12:39 GMT 2025","Get entity","Courses","",""
"","42","Create Exercise","LMS service","Wed Oct 22 08:12:39 GMT 2025","passed","Wed Oct 22 08:12:39 GMT 2025","Create entity","Exercises","",""
"","68","Create courses","LMS service","Wed Oct 22 08:12:40 GMT 2025","passed","Wed Oct 22 08:12:40 GMT 2025","Create entity","Courses","",""
"","26","Get File","LMS service","Wed Oct 22 08:12:42 GMT 2025","passed","Wed Oct 22 08:12:42 GMT 2025","Get entity","Files","",""
"","293","Create User: example.com","LMS service","Wed Oct 22 08:12:45 GMT 2025","passed","Wed Oct 22 08:12:46 GMT 2025","Create entity","Users","",""
"","814","Login with correct email and pass","LMS service","Wed Oct 22 08:12:37 GMT 2025","passed","Wed Oct 22 08:12:38 GMT 2025","Login","Authentication","",""
"","259","Get user me","LMS service","Wed Oct 22 08:12:45 GMT 2025","passed","Wed Oct 22 08:12:45 GMT 2025","Get entity","Users","",""
"","879","Update course","LMS service","Wed Oct 22 08:12:41 GMT 2025","passed","Wed Oct 22 08:12:42 GMT 2025","Update entity","Courses","",""
"","1053","Create User: gmail.com","LMS service","Wed Oct 22 08:12:44 GMT 2025","passed","Wed Oct 22 08:12:45 GMT 2025","Create entity","Users","",""
"","802","Create File With Empty Filename","LMS service","Wed Oct 22 08:12:44 GMT 2025","passed","Wed Oct 22 08:12:45 GMT 2025","Validate entity","Files","",""
"","859","Update Exercise","LMS service","Wed Oct 22 08:12:39 GMT 2025","passed","Wed Oct 22 08:12:40 GMT 2025","Update entity","Exercises","",""
"","297","Get File With deleted File ID","LMS service","Wed Oct 22 08:12:45 GMT 2025","passed","Wed Oct 22 08:12:46 GMT 2025","Validate entity","Files","",""
"","39","Create File","LMS service","Wed Oct 22 08:12:42 GMT 2025","passed","Wed Oct 22 08:12:42 GMT 2025","Create entity","Files","",""
